Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Surname,TotalExpenses,HasExpenses,Transported
56,2,3,Europa,True,A,1.0,S,TRAPPIST-1e,38.0,False,Tractive,0,0,True
56,3,3,Europa,False,A,1.0,S,TRAPPIST-1e,27.0,False,Tractive,4547,1,True
58,1,1,Earth,True,G,7.0,S,PSO J318.5-22,36.0,False,Ayalazquez,0,0,False
61,1,1,Earth,False,F,12.0,S,TRAPPIST-1e,22.0,False,Salez,2667,1,False
62,1,1,Earth,False,F,13.0,S,TRAPPIST-1e,62.0,False,Greeves,634,1,False
64,1,2,Mars,True,F,14.0,S,TRAPPIST-1e,15.0,False,,0,0,True
64,2,2,,True,E,3.0,S,TRAPPIST-1e,33.0,False,Keen,0,0,True
66,1,1,Earth,False,G,6.0,P,TRAPPIST-1e,62.0,False,Pecketton,811,1,False
67,1,3,Earth,True,G,10.0,S,PSO J318.5-22,0.0,False,Leeves,0,0,True
67,2,3,Earth,False,G,10.0,S,TRAPPIST-1e,18.0,False,Leeves,705,1,True
67,3,3,Earth,False,F,15.0,S,55 Cancri e,21.0,False,Leeves,2007,1,False
68,1,1,Mars,False,E,4.0,S,TRAPPIST-1e,,False,Binie,1048,1,False
69,1,1,Earth,False,F,16.0,S,TRAPPIST-1e,42.0,False,,902,1,True
70,1,1,Earth,False,F,13.0,P,TRAPPIST-1e,19.0,False,Brighttt,922,1,False
71,1,1,Earth,False,F,14.0,P,TRAPPIST-1e,17.0,False,Dillines,2233,1,False
72,1,1,Earth,False,F,17.0,S,TRAPPIST-1e,14.0,False,Brantuarez,1064,1,False
73,1,1,Mars,False,D,3.0,P,PSO J318.5-22,37.0,False,Make,879,1,False
74,1,1,Europa,False,C,3.0,S,TRAPPIST-1e,42.0,False,Mostedry,8904,1,True
76,1,1,Mars,False,F,18.0,S,TRAPPIST-1e,27.0,False,Dal,1165,1,True
77,1,1,Mars,False,F,15.0,P,TRAPPIST-1e,28.0,False,Blité,1309,1,True
78,1,1,Europa,False,C,4.0,S,TRAPPIST-1e,38.0,False,Pokerheed,15815,1,False
81,1,1,Earth,True,G,13.0,S,TRAPPIST-1e,13.0,False,Vinozarks,0,0,False
82,1,3,Mars,False,F,16.0,P,TRAPPIST-1e,42.0,False,Datte,7406,1,False
82,2,3,Mars,True,F,16.0,P,TRAPPIST-1e,2.0,False,Datte,0,0,True
82,3,3,Mars,False,F,16.0,P,TRAPPIST-1e,8.0,False,,0,0,True
84,1,1,Earth,False,G,14.0,S,TRAPPIST-1e,24.0,False,Coopezmaney,705,1,True
85,1,1,Europa,True,C,5.0,S,TRAPPIST-1e,40.0,False,Ellcefulve,0,0,True
86,1,1,Earth,False,F,17.0,P,TRAPPIST-1e,43.0,False,Kinson,1362,1,False
88,1,1,Mars,True,E,5.0,S,PSO J318.5-22,45.0,False,Sacre,0,0,True
90,1,1,Earth,True,G,15.0,S,TRAPPIST-1e,35.0,False,Santry,0,0,True
91,1,2,Earth,True,G,16.0,S,TRAPPIST-1e,26.0,False,Yorkland,0,0,True
91,2,2,Earth,False,F,20.0,S,TRAPPIST-1e,27.0,False,Yorkland,917,1,False
92,1,3,Earth,False,G,9.0,P,TRAPPIST-1e,19.0,False,Dunnisey,705,1,False
92,2,3,Earth,True,G,9.0,P,TRAPPIST-1e,0.0,False,Hewson,0,0,True
92,3,3,Earth,True,G,9.0,P,TRAPPIST-1e,3.0,False,Hewson,0,0,True
97,1,1,Europa,False,A,2.0,S,TRAPPIST-1e,54.0,False,Fictful,1848,1,False
98,1,2,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,Carezquez,893,1,False
98,2,2,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,Carezquez,3855,1,True
99,1,2,Earth,False,F,19.0,P,PSO J318.5-22,23.0,False,Leetersoney,1301,1,False
99,2,2,Earth,,G,12.0,P,TRAPPIST-1e,2.0,False,Connelson,0,0,True
101,1,1,Mars,True,,,,TRAPPIST-1e,31.0,False,Trad,0,0,True
102,1,1,Earth,False,F,23.0,S,TRAPPIST-1e,18.0,False,Holson,921,1,False
103,1,3,Earth,False,F,24.0,S,TRAPPIST-1e,24.0,False,Mclainez,17,1,True
103,2,3,Earth,True,G,18.0,S,55 Cancri e,9.0,False,Mclainez,0,0,True
103,3,3,Earth,True,G,18.0,S,TRAPPIST-1e,6.0,False,Mclainez,0,0,False
105,1,1,Earth,,F,21.0,P,TRAPPIST-1e,27.0,False,Cleachrand,703,1,False
107,1,1,Mars,False,D,2.0,S,TRAPPIST-1e,21.0,False,Hart,1765,1,False
108,1,3,Earth,True,G,19.0,S,TRAPPIST-1e,23.0,False,Handertiz,0,0,False
108,2,3,Earth,False,G,19.0,S,TRAPPIST-1e,31.0,False,,888,1,False
108,3,3,Earth,False,G,19.0,S,TRAPPIST-1e,0.0,,Handertiz,0,0,True
110,1,4,Europa,False,,,,TRAPPIST-1e,32.0,False,Aloubtled,5109,1,False
110,2,4,Europa,,B,5.0,P,TRAPPIST-1e,40.0,False,Bootious,2018,1,False
110,3,4,Europa,False,B,5.0,P,TRAPPIST-1e,42.0,False,Aloubtled,15940,1,True
110,4,4,Europa,True,B,5.0,P,TRAPPIST-1e,28.0,False,Aloubtled,0,0,True
111,1,1,Europa,True,E,6.0,S,TRAPPIST-1e,29.0,False,Supred,0,0,True
112,1,1,Europa,False,B,1.0,S,55 Cancri e,48.0,True,Cowtale,2654,1,True
113,1,1,Earth,False,F,23.0,P,TRAPPIST-1e,64.0,False,Carvis,804,1,True
114,1,1,Earth,False,G,20.0,S,TRAPPIST-1e,27.0,False,Beckerson,907,1,False
115,1,1,Mars,,F,24.0,P,TRAPPIST-1e,26.0,False,Pead,0,0,True
116,1,1,Europa,False,D,4.0,P,TRAPPIST-1e,33.0,False,Suptive,2640,1,True
119,1,2,,False,A,0.0,P,TRAPPIST-1e,39.0,False,Coning,9307,1,False
119,2,2,Europa,True,A,0.0,P,TRAPPIST-1e,13.0,False,Coning,0,0,True
120,1,1,Mars,True,F,25.0,P,TRAPPIST-1e,24.0,False,Sacre,0,0,True
122,1,1,Earth,False,G,21.0,S,TRAPPIST-1e,29.0,False,Hayder,773,1,False
123,1,1,Earth,False,F,27.0,P,TRAPPIST-1e,18.0,False,Fielson,702,1,False
126,1,1,Mars,True,F,27.0,S,TRAPPIST-1e,67.0,False,Mish,0,0,True
127,1,1,Mars,False,E,7.0,S,TRAPPIST-1e,35.0,False,Mesty,1022,1,False
128,1,2,Mars,False,D,3.0,S,TRAPPIST-1e,61.0,True,Fles,3014,1,False
128,2,2,Mars,False,E,8.0,S,TRAPPIST-1e,45.0,False,Fles,2109,1,False
129,1,1,Earth,True,G,22.0,S,PSO J318.5-22,22.0,False,Fowles,0,0,True
133,1,2,Mars,True,F,29.0,S,TRAPPIST-1e,19.0,False,Blie,0,0,True
133,2,2,Mars,False,D,5.0,S,TRAPPIST-1e,36.0,False,Blie,2738,1,False
134,1,1,Earth,False,G,17.0,P,TRAPPIST-1e,19.0,False,Harmontry,744,1,True
136,1,1,Earth,False,G,23.0,S,PSO J318.5-22,47.0,False,,721,1,False
138,1,2,Earth,True,G,18.0,P,TRAPPIST-1e,13.0,False,Gambs,0,0,True
138,2,2,Earth,False,E,5.0,P,,34.0,False,Gambs,793,1,False
139,1,1,Europa,True,C,6.0,S,55 Cancri e,35.0,False,Myling,0,0,True
140,1,2,Earth,True,G,19.0,P,TRAPPIST-1e,24.0,False,Mejiaddox,0,0,True
140,2,2,Earth,False,F,29.0,P,TRAPPIST-1e,26.0,False,Whitakers,902,1,False
141,1,1,Mars,False,F,30.0,P,TRAPPIST-1e,31.0,False,Harte,97,1,False
144,1,1,Earth,False,F,31.0,S,TRAPPIST-1e,20.0,False,Dayers,630,1,True
146,1,1,Earth,False,G,25.0,S,TRAPPIST-1e,56.0,False,Wolferguson,0,0,False
147,1,1,Earth,True,G,26.0,S,TRAPPIST-1e,50.0,False,Hubbarrison,0,0,True
148,1,1,Mars,False,F,31.0,P,TRAPPIST-1e,42.0,False,Pashe,1158,1,False
149,1,1,Earth,True,G,27.0,S,55 Cancri e,,False,Hubbarrison,0,0,True
151,1,1,Earth,True,G,20.0,P,55 Cancri e,38.0,False,Simson,0,0,False
152,1,1,Earth,False,F,32.0,P,,41.0,False,Estron,607,1,False
160,1,1,Earth,False,G,22.0,P,TRAPPIST-1e,22.0,False,Atkinney,4180,1,False
163,1,2,Europa,True,B,8.0,P,TRAPPIST-1e,26.0,False,Hetforhaft,0,0,True
163,2,2,Europa,True,B,8.0,P,TRAPPIST-1e,17.0,False,Hetforhaft,0,0,True
164,1,2,Earth,False,G,28.0,S,TRAPPIST-1e,57.0,False,Hutchinton,1873,1,True
164,2,2,Earth,True,G,28.0,S,PSO J318.5-22,17.0,False,Hutchinton,0,0,False
165,1,1,Mars,True,F,37.0,P,TRAPPIST-1e,35.0,,Anche,0,0,True
167,1,2,Mars,True,F,35.0,S,TRAPPIST-1e,13.0,False,Floaf,0,0,True
167,2,2,Mars,False,F,35.0,S,TRAPPIST-1e,27.0,False,Floaf,1572,1,False
169,1,1,Earth,True,G,23.0,P,TRAPPIST-1e,31.0,False,Fisherry,0,0,False
170,1,1,Earth,False,E,10.0,S,TRAPPIST-1e,24.0,False,Mcmahoney,788,1,False
171,1,1,Earth,True,G,30.0,S,PSO J318.5-22,19.0,False,Gordanieves,0,0,True
172,1,1,Earth,True,G,24.0,P,TRAPPIST-1e,32.0,False,Johnshines,0,0,True
173,1,1,Earth,,E,11.0,S,TRAPPIST-1e,58.0,False,Grifford,990,1,True
174,1,1,Earth,False,F,38.0,P,55 Cancri e,21.0,False,Lambles,593,1,False
177,1,1,Europa,False,B,2.0,S,TRAPPIST-1e,38.0,False,Iniouser,27428,1,False
178,1,1,Mars,False,D,6.0,S,TRAPPIST-1e,38.0,False,Knik,3722,1,False
179,1,3,Earth,False,G,26.0,P,TRAPPIST-1e,19.0,False,Webstephrey,906,1,True
179,2,3,Earth,False,G,26.0,P,TRAPPIST-1e,0.0,False,Webstephrey,0,0,False
179,3,3,Earth,False,G,26.0,P,TRAPPIST-1e,3.0,False,Webstephrey,0,0,True
181,1,1,Earth,False,G,27.0,P,TRAPPIST-1e,20.0,False,Brighttt,394,1,False
182,1,1,Europa,True,C,3.0,P,TRAPPIST-1e,24.0,False,Disight,0,0,True
183,1,1,Earth,False,F,36.0,S,TRAPPIST-1e,37.0,False,Weaves,821,1,True
186,1,1,Earth,False,G,28.0,P,TRAPPIST-1e,25.0,False,Shephendry,1018,1,False
188,1,1,Earth,True,G,31.0,S,TRAPPIST-1e,56.0,False,Romez,0,0,True
189,1,1,Earth,False,E,8.0,P,55 Cancri e,49.0,False,Booters,788,1,False
190,1,1,Earth,True,G,32.0,S,55 Cancri e,11.0,False,,0,0,False
192,1,3,Earth,True,G,29.0,P,TRAPPIST-1e,1.0,False,Adavisons,0,0,True
192,2,3,Earth,False,G,29.0,P,TRAPPIST-1e,8.0,False,Adavisons,0,0,False
192,3,3,Earth,False,G,29.0,P,TRAPPIST-1e,39.0,False,Adavisons,908,1,False
193,1,3,Mars,True,F,41.0,P,TRAPPIST-1e,2.0,False,Raf,0,0,True
193,2,3,Mars,False,F,41.0,P,TRAPPIST-1e,23.0,False,Raf,1080,1,False
193,3,3,Mars,False,F,41.0,P,TRAPPIST-1e,0.0,False,Raf,0,0,True
195,1,1,Mars,False,F,42.0,P,TRAPPIST-1e,39.0,False,Floaf,1273,1,True
196,1,1,Mars,False,D,5.0,P,PSO J318.5-22,25.0,False,Emead,1778,1,False
197,1,1,Europa,False,C,5.0,P,TRAPPIST-1e,36.0,False,Dissper,2342,1,False
198,1,1,Earth,,G,30.0,P,PSO J318.5-22,52.0,False,Cookson,0,0,True
199,1,1,Earth,True,G,33.0,S,TRAPPIST-1e,18.0,False,Morrows,0,0,False
200,1,1,Earth,True,G,31.0,P,TRAPPIST-1e,15.0,False,Colomonson,0,0,True
201,1,2,Europa,True,B,3.0,S,TRAPPIST-1e,35.0,False,Bacistion,0,0,True
201,2,2,Europa,True,B,3.0,S,TRAPPIST-1e,47.0,False,Bacistion,0,0,True
202,1,2,Europa,True,B,9.0,P,55 Cancri e,45.0,False,Embleng,0,0,True
202,2,2,Europa,False,A,2.0,P,55 Cancri e,,False,Embleng,3754,1,True
203,1,1,Europa,True,C,8.0,S,TRAPPIST-1e,51.0,False,Heateele,0,0,True
205,1,1,Earth,False,G,34.0,S,TRAPPIST-1e,29.0,False,Oneiles,773,1,False
206,1,1,Europa,False,C,9.0,S,55 Cancri e,,False,Brugashed,2981,1,True
207,1,1,Earth,True,G,32.0,P,PSO J318.5-22,19.0,False,Mcfaddennon,0,0,False
210,1,1,,True,D,6.0,P,55 Cancri e,24.0,False,Inicont,0,0,True
211,1,3,Mars,False,F,44.0,P,TRAPPIST-1e,29.0,False,Appie,1040,1,True
211,2,3,Mars,True,F,44.0,P,TRAPPIST-1e,11.0,False,Appie,0,0,True
211,3,3,Mars,False,F,44.0,P,TRAPPIST-1e,17.0,False,Date,1337,1,False
212,1,2,Earth,False,E,9.0,P,TRAPPIST-1e,13.0,False,Workmans,982,1,False
212,2,2,Earth,False,F,45.0,P,TRAPPIST-1e,35.0,False,Workmans,732,1,False
213,1,1,Earth,False,F,46.0,P,TRAPPIST-1e,21.0,False,Navages,794,1,False
216,1,1,Earth,False,F,40.0,S,55 Cancri e,21.0,False,Garnes,1974,1,False
217,1,1,Earth,False,F,47.0,P,TRAPPIST-1e,38.0,False,Shieldson,1544,1,False
219,1,1,Earth,True,G,36.0,P,TRAPPIST-1e,19.0,False,River,0,0,True
220,1,7,Earth,True,G,37.0,P,TRAPPIST-1e,2.0,False,Wilsoney,0,0,True
220,2,7,Earth,False,G,37.0,P,TRAPPIST-1e,0.0,False,Wilsoney,0,0,True
220,3,7,Earth,True,G,37.0,P,TRAPPIST-1e,13.0,False,Wilsoney,0,0,False
220,4,7,Earth,False,E,10.0,P,TRAPPIST-1e,25.0,False,Wilsoney,206,1,False
220,5,7,Earth,False,F,48.0,P,TRAPPIST-1e,16.0,False,Wilsoney,1102,1,False
220,6,7,Earth,False,G,37.0,P,55 Cancri e,1.0,False,Wilsoney,0,0,False
220,7,7,Earth,True,G,37.0,P,TRAPPIST-1e,15.0,False,Wilsoney,0,0,True
221,1,7,Mars,False,E,13.0,S,55 Cancri e,21.0,False,Blan,2356,1,False
221,2,7,Mars,False,E,13.0,S,TRAPPIST-1e,23.0,False,Reke,1298,1,False
221,3,7,Mars,False,E,13.0,S,TRAPPIST-1e,33.0,False,Reke,2134,1,False
221,4,7,Mars,True,E,13.0,S,TRAPPIST-1e,21.0,False,Reke,0,0,True
221,5,7,Mars,False,E,13.0,S,TRAPPIST-1e,41.0,False,Reke,2597,1,False
221,6,7,Mars,False,E,13.0,S,TRAPPIST-1e,16.0,False,Reke,1370,1,False
221,7,7,Mars,True,E,13.0,S,TRAPPIST-1e,42.0,False,Reke,0,0,False
222,1,3,Mars,False,F,41.0,S,TRAPPIST-1e,20.0,False,Perte,1417,1,False
222,2,3,Mars,True,F,41.0,S,TRAPPIST-1e,24.0,False,Deva,0,0,True
222,3,3,Mars,True,E,14.0,S,TRAPPIST-1e,16.0,False,Perte,0,0,True
223,1,1,Earth,False,G,35.0,S,TRAPPIST-1e,21.0,False,Sykess,676,1,False
224,1,1,Mars,False,F,42.0,S,TRAPPIST-1e,32.0,True,Queen,1820,1,False
225,1,1,Earth,True,G,38.0,P,PSO J318.5-22,58.0,False,Hortis,0,0,True
229,1,1,Earth,False,F,43.0,S,TRAPPIST-1e,24.0,False,Sellahaney,803,1,False
231,1,1,Mars,False,F,44.0,S,TRAPPIST-1e,30.0,False,Nate,1806,1,False
232,1,1,Earth,True,G,36.0,S,PSO J318.5-22,27.0,False,Bakerrison,0,0,False
233,1,1,Mars,False,F,45.0,S,TRAPPIST-1e,32.0,False,Wist,1750,1,False
234,1,1,Earth,False,F,50.0,P,TRAPPIST-1e,43.0,False,Josey,888,1,False
237,1,1,Europa,True,B,11.0,P,TRAPPIST-1e,42.0,False,Aginge,0,0,True
239,1,1,Mars,False,,,,TRAPPIST-1e,37.0,False,Resty,1048,1,False
240,1,1,Mars,True,F,52.0,P,TRAPPIST-1e,35.0,False,Crie,0,0,True
241,1,1,Europa,,E,11.0,P,55 Cancri e,33.0,False,Dischod,7177,1,False
242,1,1,,False,F,46.0,S,TRAPPIST-1e,18.0,False,Sté,1288,1,False
243,1,1,Earth,True,G,37.0,S,TRAPPIST-1e,21.0,False,Cartyernan,0,0,False
244,1,2,Mars,True,,,,TRAPPIST-1e,43.0,False,Sad,0,0,True
244,2,2,Mars,True,F,47.0,S,55 Cancri e,14.0,,Sad,0,0,True
245,1,2,Europa,False,C,6.0,P,55 Cancri e,46.0,False,Repumparte,3578,1,True
245,2,2,Europa,False,C,6.0,P,TRAPPIST-1e,33.0,False,Repumparte,12378,1,False
246,1,1,Mars,False,D,8.0,P,TRAPPIST-1e,21.0,False,Sesa,3261,1,False
248,1,1,Europa,False,C,10.0,S,TRAPPIST-1e,33.0,False,Spanxibus,9684,1,False
250,1,1,Earth,True,G,38.0,S,PSO J318.5-22,47.0,False,Kramosley,0,0,False
251,1,1,,True,C,11.0,S,55 Cancri e,54.0,False,Amsive,0,0,True
252,1,1,Earth,False,F,53.0,P,TRAPPIST-1e,30.0,False,Byerry,1571,1,False
253,1,1,Earth,False,G,42.0,P,TRAPPIST-1e,29.0,False,Cardner,888,1,False
254,1,1,Earth,False,F,54.0,P,TRAPPIST-1e,21.0,False,Stenson,1290,1,True
255,1,1,Europa,True,A,3.0,S,TRAPPIST-1e,24.0,False,Mingious,0,0,True
257,1,2,Mars,False,F,49.0,S,55 Cancri e,21.0,False,Berte,1664,1,False
257,2,2,Mars,True,F,49.0,S,TRAPPIST-1e,60.0,False,Berte,0,0,True
258,1,1,Earth,False,F,50.0,S,TRAPPIST-1e,22.0,False,Cooperkins,704,1,False
260,1,1,Europa,False,E,16.0,S,TRAPPIST-1e,26.0,False,Inderly,7845,1,False
261,1,1,Earth,False,F,56.0,P,TRAPPIST-1e,26.0,False,Bookerson,898,1,False
263,1,1,Earth,True,G,43.0,P,TRAPPIST-1e,28.0,False,Merkins,0,0,True
265,1,1,Europa,True,D,8.0,S,TRAPPIST-1e,39.0,False,Herpumble,0,0,True
267,1,1,Earth,False,F,51.0,S,TRAPPIST-1e,13.0,False,Sancockett,873,1,False
269,1,1,Earth,False,F,52.0,S,55 Cancri e,47.0,False,Polliamposs,823,1,True
270,1,1,Earth,False,F,59.0,P,TRAPPIST-1e,63.0,False,Fryersonis,1393,1,False
275,1,1,Europa,True,D,9.0,S,55 Cancri e,,False,Obnoble,0,0,True
277,1,1,Earth,False,F,61.0,P,55 Cancri e,50.0,False,Mcdanield,2487,1,True
278,1,2,Earth,False,,,,TRAPPIST-1e,35.0,False,Beachez,888,1,False
278,2,2,Earth,False,G,45.0,P,TRAPPIST-1e,45.0,False,Beachez,444,1,False
281,1,1,Earth,False,F,63.0,P,TRAPPIST-1e,19.0,False,Pierry,2078,1,True
282,1,1,Earth,False,F,54.0,S,TRAPPIST-1e,21.0,False,Baketton,918,1,True
283,1,2,Earth,True,G,46.0,P,PSO J318.5-22,29.0,False,Santin,0,0,True
283,2,2,Earth,False,F,64.0,P,TRAPPIST-1e,22.0,False,Santin,803,1,True
285,1,2,Europa,True,E,16.0,P,TRAPPIST-1e,14.0,False,Invebodene,0,0,True
285,2,2,Europa,True,E,16.0,P,55 Cancri e,42.0,False,Invebodene,0,0,True
286,1,1,Earth,False,F,65.0,P,55 Cancri e,57.0,False,Jimes,1488,1,False
287,1,2,Europa,True,,,,55 Cancri e,39.0,False,Bootty,0,0,True
287,2,2,Europa,False,B,12.0,P,TRAPPIST-1e,28.0,False,Bootty,2085,1,False
288,1,1,Earth,False,F,55.0,S,55 Cancri e,19.0,False,Delez,828,1,False
289,1,1,Europa,True,C,12.0,S,55 Cancri e,19.0,False,Objeciane,0,0,True
290,1,4,Europa,False,B,7.0,S,55 Cancri e,26.0,False,Excialing,5877,1,True
290,2,4,Europa,True,B,7.0,S,TRAPPIST-1e,17.0,False,Excialing,0,0,True
290,3,4,Europa,,B,7.0,S,TRAPPIST-1e,43.0,False,Excialing,0,0,True
290,4,4,Europa,False,B,7.0,S,55 Cancri e,9.0,False,Excialing,0,0,True
291,1,1,Europa,False,D,10.0,S,TRAPPIST-1e,40.0,False,Brakeril,7678,1,True
294,1,1,Europa,True,B,8.0,S,TRAPPIST-1e,50.0,False,Roforhauge,0,0,True
297,1,1,Earth,False,G,47.0,P,TRAPPIST-1e,24.0,False,Gardonadox,1433,1,True
298,1,1,Europa,True,A,3.0,P,55 Cancri e,57.0,False,Sorbitter,0,0,True
301,1,1,Earth,True,,,,TRAPPIST-1e,16.0,False,Wriggins,0,0,False
302,1,1,Earth,False,F,67.0,P,TRAPPIST-1e,23.0,False,Shephendry,1385,1,False
303,1,1,,True,G,41.0,S,TRAPPIST-1e,23.0,False,Kirklander,0,0,True
304,1,1,Europa,False,E,18.0,S,TRAPPIST-1e,28.0,False,Ausivetpul,7439,1,False
305,1,1,Europa,False,C,7.0,P,55 Cancri e,23.0,False,Geousker,3073,1,False
306,1,1,Earth,False,E,19.0,S,TRAPPIST-1e,23.0,False,Estevesters,904,1,False
307,1,1,Earth,False,F,59.0,S,TRAPPIST-1e,18.0,False,Hickett,1359,1,True
309,1,1,Earth,False,F,60.0,S,TRAPPIST-1e,18.0,False,Bowerson,1357,1,False
310,1,1,Europa,False,,,,TRAPPIST-1e,67.0,False,Coudered,4947,1,False
313,1,4,Earth,False,F,68.0,P,PSO J318.5-22,60.0,False,Mckinsond,552,1,True
313,2,4,Earth,True,G,50.0,P,55 Cancri e,,False,Mckinsond,0,0,True
313,3,4,Earth,False,F,68.0,P,55 Cancri e,49.0,False,Mckinsond,649,1,True
313,4,4,Earth,False,G,50.0,P,55 Cancri e,0.0,False,Mckinsond,0,0,True
314,1,1,Earth,False,G,51.0,P,55 Cancri e,26.0,False,Kochroeders,1790,1,False
315,1,1,,True,G,42.0,S,PSO J318.5-22,35.0,False,Valezaley,0,0,True
316,1,2,Europa,False,B,9.0,S,TRAPPIST-1e,24.0,False,Sorbitter,2798,1,True
316,2,2,Europa,True,B,9.0,S,TRAPPIST-1e,20.0,False,Sorbitter,0,0,True
320,1,2,Earth,False,G,44.0,S,TRAPPIST-1e,18.0,False,Bellarkerd,2,1,False
