Group,NumInGroup,GroupSize,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,Name,TotalExpenses,HasExpenses,Transported
233,1,1,Mars,False,F,45.0,S,TRAPPIST-1e,32.0,False,Teda Wist,1750,1,False
234,1,1,Earth,False,F,50.0,P,TRAPPIST-1e,43.0,False,Keitha Josey,888,1,False
237,1,1,Europa,True,B,11.0,P,TRAPPIST-1e,42.0,False,Weias Aginge,0,0,True
239,1,1,Mars,False,,,,TRAPPIST-1e,37.0,False,Diedow Resty,1048,1,False
240,1,1,Mars,True,F,52.0,P,TRAPPIST-1e,35.0,False,Puffes Crie,0,0,True
241,1,1,Europa,,E,11.0,P,55 Cancri e,33.0,False,Alas Dischod,7177,1,False
242,1,1,,False,F,46.0,S,TRAPPIST-1e,18.0,False,Almone Sté,1288,1,False
243,1,1,Earth,True,G,37.0,S,TRAPPIST-1e,21.0,False,Lilace Cartyernan,0,0,False
244,1,2,Mars,True,,,,TRAPPIST-1e,43.0,False,Froos Sad,0,0,True
244,2,2,Mars,True,F,47.0,S,55 Cancri e,14.0,,Tous Sad,0,0,True
245,1,2,Europa,False,C,6.0,P,55 Cancri e,46.0,False,Glueba Repumparte,3578,1,True
245,2,2,Europa,False,C,6.0,P,TRAPPIST-1e,33.0,False,Anchib Repumparte,12378,1,False
246,1,1,Mars,False,D,8.0,P,TRAPPIST-1e,21.0,False,Mele Sesa,3261,1,False
248,1,1,Europa,False,C,10.0,S,TRAPPIST-1e,33.0,False,Genifi Spanxibus,9684,1,False
250,1,1,Earth,True,G,38.0,S,PSO J318.5-22,47.0,False,Camily Kramosley,0,0,False
251,1,1,,True,C,11.0,S,55 Cancri e,54.0,False,Diphah Amsive,0,0,True
252,1,1,Earth,False,F,53.0,P,TRAPPIST-1e,30.0,False,Leenny Byerry,1571,1,False
253,1,1,Earth,False,G,42.0,P,TRAPPIST-1e,29.0,False,Dawne Cardner,888,1,False
254,1,1,Earth,False,F,54.0,P,TRAPPIST-1e,21.0,False,Race Stenson,1290,1,True
255,1,1,Europa,True,A,3.0,S,TRAPPIST-1e,24.0,False,Ashir Mingious,0,0,True
257,1,2,Mars,False,F,49.0,S,55 Cancri e,21.0,False,Errohs Berte,1664,1,False
257,2,2,Mars,True,F,49.0,S,TRAPPIST-1e,60.0,False,Squars Berte,0,0,True
258,1,1,Earth,False,F,50.0,S,TRAPPIST-1e,22.0,False,Feryla Cooperkins,704,1,False
260,1,1,Europa,False,E,16.0,S,TRAPPIST-1e,26.0,False,Segino Inderly,7845,1,False
261,1,1,Earth,False,F,56.0,P,TRAPPIST-1e,26.0,False,Dord Bookerson,898,1,False
263,1,1,Earth,True,G,43.0,P,TRAPPIST-1e,28.0,False,Maen Merkins,0,0,True
265,1,1,Europa,True,D,8.0,S,TRAPPIST-1e,39.0,False,Etair Herpumble,0,0,True
267,1,1,Earth,False,F,51.0,S,TRAPPIST-1e,13.0,False,Lilace Sancockett,873,1,False
269,1,1,Earth,False,F,52.0,S,55 Cancri e,47.0,False,Lerome Polliamposs,823,1,True
270,1,1,Earth,False,F,59.0,P,TRAPPIST-1e,63.0,False,Cathya Fryersonis,1393,1,False
275,1,1,Europa,True,D,9.0,S,55 Cancri e,,False,Terf Obnoble,0,0,True
277,1,1,Earth,False,F,61.0,P,55 Cancri e,50.0,False,Byront Mcdanield,2487,1,True
278,1,2,Earth,False,,,,TRAPPIST-1e,35.0,False,Judya Beachez,888,1,False
278,2,2,Earth,False,G,45.0,P,TRAPPIST-1e,45.0,False,Marice Beachez,444,1,False
281,1,1,Earth,False,F,63.0,P,TRAPPIST-1e,19.0,False,Derine Pierry,2078,1,True
282,1,1,Earth,False,F,54.0,S,TRAPPIST-1e,21.0,False,Valex Baketton,918,1,True
283,1,2,Earth,True,G,46.0,P,PSO J318.5-22,29.0,False,Jacky Santin,0,0,True
283,2,2,Earth,False,F,64.0,P,TRAPPIST-1e,22.0,False,Roydo Santin,803,1,True
285,1,2,Europa,True,E,16.0,P,TRAPPIST-1e,14.0,False,Krabik Invebodene,0,0,True
285,2,2,Europa,True,E,16.0,P,55 Cancri e,42.0,False,Grasath Invebodene,0,0,True
286,1,1,Earth,False,F,65.0,P,55 Cancri e,57.0,False,Carita Jimes,1488,1,False
287,1,2,Europa,True,,,,55 Cancri e,39.0,False,Tetra Bootty,0,0,True
287,2,2,Europa,False,B,12.0,P,TRAPPIST-1e,28.0,False,Alasym Bootty,2085,1,False
288,1,1,Earth,False,F,55.0,S,55 Cancri e,19.0,False,Gory Delez,828,1,False
289,1,1,Europa,True,C,12.0,S,55 Cancri e,19.0,False,Furuson Objeciane,0,0,True
290,1,4,Europa,False,B,7.0,S,55 Cancri e,26.0,False,Skaton Excialing,5877,1,True
290,2,4,Europa,True,B,7.0,S,TRAPPIST-1e,17.0,False,Algor Excialing,0,0,True
290,3,4,Europa,,B,7.0,S,TRAPPIST-1e,43.0,False,Dhenar Excialing,0,0,True
290,4,4,Europa,False,B,7.0,S,55 Cancri e,9.0,False,Atino Excialing,0,0,True
291,1,1,Europa,False,D,10.0,S,TRAPPIST-1e,40.0,False,Castab Brakeril,7678,1,True
294,1,1,Europa,True,B,8.0,S,TRAPPIST-1e,50.0,False,Phonons Roforhauge,0,0,True
